类型,根函数名,函数名,包含性样本,排除性样本,包含性样本 %,排除性样本 %,
"Callee","[combase.dll]","[LedDynamicArea.dll]",1,1,0.00,0.00,
"Callee","[combase.dll]","[UIAnimation.dll]",1,0,0.00,0.00,
"Root","[dnsapi.dll]","[dnsapi.dll]",4,0,0.01,0.00,
"Caller","[dnsapi.dll]","[dnsapi.dll]",4,0,0.01,0.00,
"Callee","[dnsapi.dll]","[dnsapi.dll]",4,0,0.01,0.00,
"Callee","[dnsapi.dll]","[KernelBase.dll]",4,4,0.01,0.01,
"Root","[dui70.dll]","[dui70.dll]",19,1,0.05,0.00,
"Caller","[dui70.dll]","[dui70.dll]",13,0,0.04,0.00,
"Caller","[dui70.dll]","[msctfuimanager.dll]",19,1,0.05,0.00,
"Caller","[dui70.dll]","[user32.dll]",1,0,0.00,0.00,
"Callee","[dui70.dll]","[dui70.dll]",13,0,0.04,0.00,
"Callee","[dui70.dll]","[DWrite.dll]",1,1,0.00,0.00,
"Callee","[dui70.dll]","[KernelBase.dll]",5,4,0.01,0.01,
"Callee","[dui70.dll]","[ntdll.dll]",2,1,0.01,0.00,
"Callee","[dui70.dll]","[SHCore.dll]",2,2,0.01,0.01,
"Callee","[dui70.dll]","[UIAutomationCore.dll]",3,0,0.01,0.00,
"Callee","[dui70.dll]","[user32.dll]",4,4,0.01,0.01,
"Callee","[dui70.dll]","[win32u.dll]",1,1,0.00,0.00,
"Root","[duser.dll]","[duser.dll]",2,0,0.01,0.00,
"Caller","[duser.dll]","[duser.dll]",1,0,0.00,0.00,
"Caller","[duser.dll]","[ntdll.dll]",1,0,0.00,0.00,
"Caller","[duser.dll]","[user32.dll]",1,0,0.00,0.00,
"Callee","[duser.dll]","[duser.dll]",1,0,0.00,0.00,
"Callee","[duser.dll]","[kernel32.dll]",1,1,0.00,0.00,
"Callee","[duser.dll]","[user32.dll]",1,0,0.00,0.00,
"Root","[DWrite.dll]","[DWrite.dll]",1,1,0.00,0.00,
"Caller","[DWrite.dll]","[dui70.dll]",1,1,0.00,0.00,
"Root","[fastprox.dll]","[fastprox.dll]",12,1,0.03,0.00,
"Caller","[fastprox.dll]","[combase.dll]",3,0,0.01,0.00,
"Caller","[fastprox.dll]","[fastprox.dll]",5,0,0.01,0.00,
"Caller","[fastprox.dll]","[rpcrt4.dll]",4,0,0.01,0.00,
"Caller","[fastprox.dll]","[System.Management.ni.dll]",1,0,0.00,0.00,
"Caller","[fastprox.dll]","[wbemcomn.dll]",1,0,0.00,0.00,
"Caller","[fastprox.dll]","[WMINet_Utils.dll]",4,1,0.01,0.00,
"Callee","[fastprox.dll]","[combase.dll]",10,9,0.03,0.03,
"Callee","[fastprox.dll]","[fastprox.dll]",5,0,0.01,0.00,
"Callee","[fastprox.dll]","[rpcrt4.dll]",4,0,0.01,0.00,
"Callee","[fastprox.dll]","[wbemcomn.dll]",1,0,0.00,0.00,
"Callee","[fastprox.dll]","[wbemsvc.dll]",1,0,0.00,0.00,
"Root","[kernel32.dll]","[kernel32.dll]",4,4,0.01,0.01,
"Caller","[kernel32.dll]","[duser.dll]",1,1,0.00,0.00,
"Caller","[kernel32.dll]","[WTY.dll]",3,3,0.01,0.01,
"Root","[KernelBase.dll]","[KernelBase.dll]",179,178,0.51,0.51,
