16:43:21.206  connect 192.168.1.98 fail!
16:43:21.212  192.168.1.98接口函数获取网卡IP为: 192.168.1.250
16:43:21.682  192.168.1.98:bind 11205 port fail, ret = 10049, hsdk_socket->port = 11205
16:43:21.687  192.168.1.98:bind 11215 port fail, ret = 10049, hsdk_socket->port = 11215
16:43:21.691  192.168.1.98:bind 11225 port fail, ret = 10049, hsdk_socket->port = 11225
16:43:21.696  192.168.1.98:bind 11235 port fail, ret = 10049, hsdk_socket->port = 11235
16:43:21.700  192.168.1.98:bind 11245 port fail, ret = 10049, hsdk_socket->port = 11245
16:43:21.705  192.168.1.98:bind 11255 port fail, ret = 10049, hsdk_socket->port = 11255
16:43:21.709  192.168.1.98:bind 11265 port fail, ret = 10049, hsdk_socket->port = 11265
16:43:21.714  192.168.1.98:bind 11275 port fail, ret = 10049, hsdk_socket->port = 11275
16:43:21.718  192.168.1.98:bind 11285 port fail, ret = 10049, hsdk_socket->port = 11285
16:43:21.723  192.168.1.98:bind 11295 port fail, ret = 10049, hsdk_socket->port = 11295
16:43:21.727  192.168.1.98:bind 11305 port fail, ret = 10049, hsdk_socket->port = 11305
16:43:21.732  192.168.1.98:bind 11315 port fail, ret = 10049, hsdk_socket->port = 11315
16:43:21.737  192.168.1.98:bind 11325 port fail, ret = 10049, hsdk_socket->port = 11325
16:43:21.741  192.168.1.98:bind 11335 port fail, ret = 10049, hsdk_socket->port = 11335
16:43:21.746  192.168.1.98:bind 11345 port fail, ret = 10049, hsdk_socket->port = 11345
16:43:21.751  192.168.1.98:bind 11355 port fail, ret = 10049, hsdk_socket->port = 11355
16:43:21.755  192.168.1.98:bind 11365 port fail, ret = 10049, hsdk_socket->port = 11365
16:43:21.760  192.168.1.98:bind 11375 port fail, ret = 10049, hsdk_socket->port = 11375
16:43:21.765  192.168.1.98:bind 11385 port fail, ret = 10049, hsdk_socket->port = 11385
16:43:21.770  192.168.1.98:bind 11395 port fail, ret = 10049, hsdk_socket->port = 11395
16:43:21.774  192.168.1.98:bind 11405 port fail, ret = 10049, hsdk_socket->port = 11405
16:43:21.779  192.168.1.98:bind 11415 port fail, ret = 10049, hsdk_socket->port = 11415
16:43:21.784  192.168.1.98:bind 11425 port fail, ret = 10049, hsdk_socket->port = 11425
16:43:21.789  192.168.1.98:bind 11435 port fail, ret = 10049, hsdk_socket->port = 11435
16:43:21.793  192.168.1.98:bind 11445 port fail, ret = 10049, hsdk_socket->port = 11445
16:43:21.798  192.168.1.98:bind 11455 port fail, ret = 10049, hsdk_socket->port = 11455
16:43:21.803  192.168.1.98:bind 11465 port fail, ret = 10049, hsdk_socket->port = 11465
16:43:21.807  192.168.1.98:bind 11475 port fail, ret = 10049, hsdk_socket->port = 11475
16:43:21.812  192.168.1.98:bind 11485 port fail, ret = 10049, hsdk_socket->port = 11485
16:43:21.817  192.168.1.98:bind 11495 port fail, ret = 10049, hsdk_socket->port = 11495
16:43:21.821  192.168.1.98:bind 11505 port fail, ret = 10049, hsdk_socket->port = 11505
16:43:21.826  192.168.1.98:bind 11515 port fail, ret = 10049, hsdk_socket->port = 11515
16:43:21.831  192.168.1.98:bind 11525 port fail, ret = 10049, hsdk_socket->port = 11525
16:43:21.836  192.168.1.98:bind 11535 port fail, ret = 10049, hsdk_socket->port = 11535
16:43:21.840  192.168.1.98:bind 11545 port fail, ret = 10049, hsdk_socket->port = 11545
16:43:21.845  192.168.1.98:bind 11555 port fail, ret = 10049, hsdk_socket->port = 11555
16:43:21.850  192.168.1.98:bind 11565 port fail, ret = 10049, hsdk_socket->port = 11565
16:43:21.855  192.168.1.98:bind 11575 port fail, ret = 10049, hsdk_socket->port = 11575
16:43:21.859  192.168.1.98:bind 11585 port fail, ret = 10049, hsdk_socket->port = 11585
16:43:21.864  192.168.1.98:bind 11595 port fail, ret = 10049, hsdk_socket->port = 11595
16:43:21.869  192.168.1.98:bind 11605 port fail, ret = 10049, hsdk_socket->port = 11605
16:43:21.874  192.168.1.98:bind 11615 port fail, ret = 10049, hsdk_socket->port = 11615
16:43:21.879  192.168.1.98:bind 11625 port fail, ret = 10049, hsdk_socket->port = 11625
16:43:21.884  192.168.1.98:bind 11635 port fail, ret = 10049, hsdk_socket->port = 11635
16:43:21.888  192.168.1.98:bind 11645 port fail, ret = 10049, hsdk_socket->port = 11645
16:43:21.893  192.168.1.98:bind 11655 port fail, ret = 10049, hsdk_socket->port = 11655
16:43:21.898  192.168.1.98:bind 11665 port fail, ret = 10049, hsdk_socket->port = 11665
16:43:21.903  192.168.1.98:bind 11675 port fail, ret = 10049, hsdk_socket->port = 11675
16:43:21.908  192.168.1.98:bind 11685 port fail, ret = 10049, hsdk_socket->port = 11685
16:43:21.913  192.168.1.98:bind 11695 port fail, ret = 10049, hsdk_socket->port = 11695
16:43:21.918  192.168.1.98:bind 11705 port fail, ret = 10049, hsdk_socket->port = 11705
16:43:21.923  192.168.1.98:bind 11715 port fail, ret = 10049, hsdk_socket->port = 11715
16:43:21.928  192.168.1.98:bind 11725 port fail, ret = 10049, hsdk_socket->port = 11725
16:43:21.933  192.168.1.98:bind 11735 port fail, ret = 10049, hsdk_socket->port = 11735
16:43:21.938  192.168.1.98:bind 11745 port fail, ret = 10049, hsdk_socket->port = 11745
16:43:21.943  192.168.1.98:bind 11755 port fail, ret = 10049, hsdk_socket->port = 11755
